U+0009, CHARACTER TABULATION                   , Tab
U+000A, LINE FEED (LF)                         , NewLine
U+0021, EXCLAMATION MARK                       , excl
U+0022, QUOTATION MARK                         , quot, QUOT
U+0023, NUMBER SIGN                            , num
U+0024, DOLLAR SIGN                            , dollar
U+0025, PERCENT SIGN                           , percnt
U+0026, AMPERSAND                              , amp, AMP
U+0027, APOSTROPHE                             , apos
U+0028, LEFT PARENTHESIS                       , lpar
U+0029, RIGHT PARENTHESIS                      , rpar
U+002A, ASTERISK                               , ast, midast
U+002B, PLUS SIGN                              , plus
U+002C, COMMA                                  , comma
U+002E, FULL STOP                              , period
U+002F, SOLIDUS                                , sol
U+003A, COLON                                  , colon
U+003B, SEMICOLON                              , semi
U+003C, LESS-THAN SIGN                         , lt, LT
U+003C U+20D2, LESS-THAN SIGN with vertical line      , nvlt
U+003D, EQUALS SIGN                            , equals
U+003D U+20E5, EQUALS SIGN with reverse slash         , bne
U+003E, GREATER-THAN SIGN                      , gt, GT
U+003E U+20D2, GREATER-THAN SIGN with vertical line   , nvgt
U+003F, QUESTION MARK                          , quest
U+0040, COMMERCIAL AT                          , commat
U+005B, LEFT SQUARE BRACKET                    , lsqb, lbrack
U+005C, REVERSE SOLIDUS                        , bsol
U+005D, RIGHT SQUARE BRACKET                   , rsqb, rbrack
U+005E, CIRCUMFLEX ACCENT                      , Hat
U+005F, LOW LINE                               , lowbar, UnderBar
U+0060, GRAVE ACCENT                           , grave, DiacriticalGrave
U+0066 U+006A, fj ligature                            , fjlig
U+007B, LEFT CURLY BRACKET                     , lcub, lbrace
U+007C, VERTICAL LINE                          , verbar, vert, VerticalLine
U+007D, RIGHT CURLY BRACKET                    , rcub, rbrace
U+00A0, NO-BREAK SPACE                         , nbsp, NonBreakingSpace
U+00A1, INVERTED EXCLAMATION MARK              , iexcl
U+00A2, CENT SIGN                              , cent
U+00A3, POUND SIGN                             , pound
U+00A4, CURRENCY SIGN                          , curren
U+00A5, YEN SIGN                               , yen
U+00A6, BROKEN BAR                             , brvbar
U+00A7, SECTION SIGN                           , sect
U+00A8, DIAERESIS                              , Dot, die, DoubleDot, uml
U+00A9, COPYRIGHT SIGN                         , copy, COPY
U+00AA, FEMININE ORDINAL INDICATOR             , ordf
U+00AB, LEFT-POINTING DOUBLE ANGLE QUOTATION MARK, laquo
U+00AC, NOT SIGN                               , not
U+00AD, SOFT HYPHEN                            , shy
U+00AE, REGISTERED SIGN                        , reg, circledR, REG
U+00AF, MACRON                                 , macr, strns
U+00B0, DEGREE SIGN                            , deg
U+00B1, PLUS-MINUS SIGN                        , plusmn, pm, PlusMinus
U+00B4, ACUTE ACCENT                           , acute, DiacriticalAcute
U+00B5, MICRO SIGN                             , micro
U+00B6, PILCROW SIGN                           , para
U+00B7, MIDDLE DOT                             , middot, centerdot, CenterDot
U+00B8, CEDILLA                                , cedil, Cedilla
U+00BA, MASCULINE ORDINAL INDICATOR            , ordm
U+00BB, RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK, raquo
U+00BC, VULGAR FRACTION ONE QUARTER            , frac14
U+00BD, VULGAR FRACTION ONE HALF               , frac12, half
U+00BE, VULGAR FRACTION THREE QUARTERS         , frac34
U+00BF, INVERTED QUESTION MARK                 , iquest
U+00C0, LATIN CAPITAL LETTER A WITH GRAVE      , Agrave
U+00C1, LATIN CAPITAL LETTER A WITH ACUTE      , Aacute
U+00C2, LATIN CAPITAL LETTER A WITH CIRCUMFLEX , Acirc
U+00C3, LATIN CAPITAL LETTER A WITH TILDE      , Atilde
U+00C4, LATIN CAPITAL LETTER A WITH DIAERESIS  , Auml
U+00C5, LATIN CAPITAL LETTER A WITH RING ABOVE , Aring, angstrom
U+00C6, LATIN CAPITAL LETTER AE                , AElig
U+00C7, LATIN CAPITAL LETTER C WITH CEDILLA    , Ccedil
U+00C8, LATIN CAPITAL LETTER E WITH GRAVE      , Egrave
U+00C9, LATIN CAPITAL LETTER E WITH ACUTE      , Eacute
U+00CA, LATIN CAPITAL LETTER E WITH CIRCUMFLEX , Ecirc
U+00CB, LATIN CAPITAL LETTER E WITH DIAERESIS  , Euml
U+00CC, LATIN CAPITAL LETTER I WITH GRAVE      , Igrave
U+00CD, LATIN CAPITAL LETTER I WITH ACUTE      , Iacute
U+00CE, LATIN CAPITAL LETTER I WITH CIRCUMFLEX , Icirc
U+00CF, LATIN CAPITAL LETTER I WITH DIAERESIS  , Iuml
U+00D0, LATIN CAPITAL LETTER ETH               , ETH
U+00D1, LATIN CAPITAL LETTER N WITH TILDE      , Ntilde
U+00D2, LATIN CAPITAL LETTER O WITH GRAVE      , Ograve
U+00D3, LATIN CAPITAL LETTER O WITH ACUTE      , Oacute
U+00D4, LATIN CAPITAL LETTER O WITH CIRCUMFLEX , Ocirc
U+00D5, LATIN CAPITAL LETTER O WITH TILDE      , Otilde
U+00D6, LATIN CAPITAL LETTER O WITH DIAERESIS  , Ouml
U+00D7, MULTIPLICATION SIGN                    , times
U+00D8, LATIN CAPITAL LETTER O WITH STROKE     , Oslash
U+00D9, LATIN CAPITAL LETTER U WITH GRAVE      , Ugrave
U+00DA, LATIN CAPITAL LETTER U WITH ACUTE      , Uacute
U+00DB, LATIN CAPITAL LETTER U WITH CIRCUMFLEX , Ucirc
U+00DC, LATIN CAPITAL LETTER U WITH DIAERESIS  , Uuml
U+00DD, LATIN CAPITAL LETTER Y WITH ACUTE      , Yacute
U+00DE, LATIN CAPITAL LETTER THORN             , THORN
U+00DF, LATIN SMALL LETTER SHARP S             , szlig
U+00E0, LATIN SMALL LETTER A WITH GRAVE        , agrave
U+00E1, LATIN SMALL LETTER A WITH ACUTE        , aacute
U+00E2, LATIN SMALL LETTER A WITH CIRCUMFLEX   , acirc
U+00E3, LATIN SMALL LETTER A WITH TILDE        , atilde
U+00E4, LATIN SMALL LETTER A WITH DIAERESIS    , auml
U+00E5, LATIN SMALL LETTER A WITH RING ABOVE   , aring
U+00E6, LATIN SMALL LETTER AE                  , aelig
U+00E7, LATIN SMALL LETTER C WITH CEDILLA      , ccedil
U+00E8, LATIN SMALL LETTER E WITH GRAVE        , egrave
U+00E9, LATIN SMALL LETTER E WITH ACUTE        , eacute
U+00EA, LATIN SMALL LETTER E WITH CIRCUMFLEX   , ecirc
U+00EB, LATIN SMALL LETTER E WITH DIAERESIS    , euml
U+00EC, LATIN SMALL LETTER I WITH GRAVE        , igrave
U+00ED, LATIN SMALL LETTER I WITH ACUTE        , iacute
U+00EE, LATIN SMALL LETTER I WITH CIRCUMFLEX   , icirc
U+00EF, LATIN SMALL LETTER I WITH DIAERESIS    , iuml
U+00F0, LATIN SMALL LETTER ETH                 , eth
U+00F1, LATIN SMALL LETTER N WITH TILDE        , ntilde
U+00F2, LATIN SMALL LETTER O WITH GRAVE        , ograve
